Iter no.,Eval no.,poll_size,hmin,fmin,x1,x2
28,87,0.001953125,0.0,2.267571141021817,2.500685214996338,6.240970611572266
28,88,0.001953125,0.0,2.2535411528458247,2.498985767364502,6.23681640625
29,90,0.0009765625,0.0,2.2525297619191376,2.4991016387939453,6.23828125
29,91,0.0009765625,0.0,2.2476151554933903,2.4964094161987305,6.2412109375
29,89,0.0009765625,0.0,2.2501719910898013,2.499220371246338,6.241092205047607
29,92,0.0009765625,0.0,2.24369218835809,2.496290683746338,6.238399982452393
30,94,0.00048828125,0.0,2.2437295372539774,2.497125744819641,6.240478515625
30,93,0.00048828125,0.0,2.242672007681484,2.497023105621338,6.239116668701172
30,95,0.00048828125,0.0,2.2460085437284,2.4983853101730347,6.239013671875
30,96,0.00048828125,0.0,2.245893182569045,2.498487949371338,6.240375518798828
31,98,0.0009765625,0.0,2.244517294488525,2.4981689453125,6.240581512451172
31,99,0.0009765625,0.0,2.2474665804870586,2.498487949371338,6.237969398498535
31,97,0.0009765625,0.0,2.2522019877616066,2.495558261871338,6.240263938903809
31,100,0.0009765625,0.0,2.244452567252965,2.495877265930176,6.237651824951172
