NAME,#VAR,#INEQCON,#SUCCESS,#ITER,#FEVAL,PSIZE,PS_SUCCESS,PS_MAX,HMIN,FMIN,FEX,FERR
g1,13,9,159,280,7035,9.094947017729282e-13,7.275957614183426e-12,16.0,9.99773191773651e-16,-13.901435204963148,-15,7.32376530024568
g2,20,2,476,758,28752,9.094947017729282e-13,1.8189894035458565e-12,4.0,9.999639522135992e-16,-0.787655081235896,-0.803619,1.9865034007538358
g3,4,1,54,130,1032,9.094947017729282e-13,2.3283064365386963e-10,1.0,1e-30,-1.0,-1,0.0
geom_prog,10,6,218,350,6849,9.094947017729282e-13,3.637978807091713e-12,16.0,9.999373431345498e-16,17.84938461856226,17.0,4.758621301033279
himmelblau,5,6,160,316,3123,9.094947017729282e-13,1.8189894035458565e-12,1.0,9.999974502298095e-16,-30566.227038660603,-30665.538672,0.3238541947742619
pressure_vessel,4,4,191,374,2932,9.094947017729282e-13,1.8189894035458565e-12,128.0,9.999997175682309e-16,5985.224798097054,5885.3327736,1.6689769869431441
weight_min_speed_reducer,7,11,588,1034,14292,9.094947017729282e-13,1.4551915228366852e-11,32.0,9.999995935664914e-16,2994.757741956262,2994.4244658,0.011128651629920971
tc_spring,3,4,25,82,378,9.094947017729282e-13,8.0,8.0,4e-30,0.0025000000000000005,0.012665232788,80.26092341256697
wbeam,4,5,110,224,1772,9.094947017729282e-13,1.8189894035458565e-12,1.0,6.656681584123448e-16,2.967023693008906,1.6702177263,43.7073006786068
